Player,Url,Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 8,Week 18,Week 19,Week 20
Avery Young,YounAv01,nor,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jude Adjei-Barimah,AdjeJu00,tam,,,,,,,,,,,,,,,,IR,,,,
Robert Ayers,AyerRo99,tam,,Q,,O,D,,,,,,,,,,,,Q,,,
Devante Bond,BondDe00,tam,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Cameron Brate,BratCa00,tam,,,,,,,,,,,,,,,,IR,,,,
Gosder Cherilus,CherGo20,tam,,,,,,,,,,,,,,,O,Q,,,,
Chris Conte,ContCh00,tam,,,,,,,,,,,,,O,,,,,,,
Lavonte David,DaviLa00,tam,,Q,,,,,,,,,,,,,,,,,,
Evan Dietrich-Smith,DietEv00,tam,,,,,Q,,,,,O,,,Q,,,,,,,
Demar Dotson,DotsDe00,tam,,,,,,,,,,,,,O,,O,,,,,
Donteea Dye,DyexDo00,tam,,,,,,,,,,,,,,,IR,IR,,,,
William Gholston,GholWi00,tam,,,,,,,,Q,,,,,,,O,O,,,,
Adarius Glanton,GlanAd00,tam,,Q,,,,,,,,,,,,,,,,,,
Ben Gottschalk,GottBe00,tam,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,
Brent Grimes,GrimBr20,tam,,,,,Q,,,,,,,,,,,,,,,
Vernon Hargreaves,HargVe00,tam,,,,,,,,,,,,,,,,Q,,,,
Joe Hawley,HawlJo20,tam,,,,Q,,,,,,Q,,,,,,,Q,,,
Adam Humphries,HumpAd00,tam,,,,,,,,,,,,,O,,,,,,,
Vincent Jackson,JackVi00,tam,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Mike James,JameMi00,tam,IR,IR,IR,IR,IR,,IR,,,,,IR,IR,IR,IR,IR,IR,,,
George Johnson,JohnGe00,tam,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Howard Jones,JoneHo01,tam,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Doug Martin,MartDo00,tam,,,,O,D,,,O,,,,,,,,,O,,,
Gerald McCoy,McCoGe99,tam,,,,,D,,,,,,,,Q,,Q,,Q,,,
Clinton McDonald,McDoCl99,tam,,,,,D,,,O,,,,,,,,,O,,,
Louis Murphy,MurpLo00,tam,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Brandon Myers,MyerBr00,tam,,,,,Q,,,,,,,,,,,,,,,
Kevin Pamphile,PampKe00,tam,,,,,,,,,,O,,,,,,,,,,
Jacquizz Rodgers,RodgJa00,tam,,,,,,,,O,,O,,,,,,,,,,
Russell Shepard,ShepRu00,tam,,,,,,,,D,,Q,,,,,,,,,,
Cecil Shorts,ShorCe00,tam,,,,O,O,,,,,,,,IR,IR,IR,IR,,,,
Charles Sims,SimsCh00,tam,,,,,IR,,IR,IR,IR,IR,IR,IR,,,,IR,IR,,,
Antone Smith,SmitAn01,tam,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Jacquies Smith,SmitJa01,tam,,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ryan Smith,SmitRy00,tam,Q,Q,,,,,,,,,,,,,,,,,,
Noah Spence,SpenNo00,tam,,,,,Q,,,,,,,,,,,,,,,
Luke Stocker,StocLu00,tam,Q,,,O,D,,,,,Q,,,O,,,,,,,
J.R. Sweezy,SweeJ.00,tam,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Keith Tandy,TandKe00,tam,,,,,Q,,,,,,,,,,,,,,,
Matthew Bosher,BoshMa00,atl,,,,,,,,,,,Q,,,,,,,,,
De'Vondre Campbell,CampDe00,atl,,O,O,O,O,,,,,,,,,,O,,,,,
Adrian Clayborn,ClayAd00,atl,,,,,,,,,,,,O,,,,,,,IR,IR
Tevin Coleman,ColeTe01,atl,,,,,,,,O,,,,,,,,,O,,,
Dwight Freeney,FreeDw00,atl,,,,,,,,O,,,,,,,,,Q,,,
Devin Fuller,FullDe00,atl,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Taylor Gabriel,GabrTa00,atl,,,,,,,,,,,,,,,,O,,,,
Dashon Goldson,GoldDa99,atl,Q,,,,,,,,,,,,,,,,,,,
Austin Hooper,HoopAu00,atl,,,,,,,,,,,,,,,O,O,,,,
Kemal Ishmael,IshmKe00,atl,,,,,,,,,,,,,,IR,IR,IR,,IR,IR,IR
Deion Jones,JoneDe01,atl,,,,,O,,,,,,,,,,,,,,,
Julio Jones,JoneJu02,atl,,,Q,,,,,,,,,,,,,,,,,
Akeem King,KingAk00,atl,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Mayes,MayeCh00,atl,,,,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Keanu Neal,NealKe01,atl,O,O,,,,,,,,,,,,,,,,,,
Brooks Reed,ReedBr00,atl,,Q,,,,,,,,,,,,,,,,,,
Derrick Shelby,ShelDe00,atl,,,,,,,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyler Starr,StarTy00,atl,,,,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jacob Tamme,TammJa00,atl,,,,,,,,IR,IR,,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Desmond Trufant,TrufDe00,atl,,,,,,,,,IR,,IR,IR,IR,IR,IR,IR,,IR,IR,IR
DeMarcus Van Dyke,VanDDe00,atl,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Terron Ward,WardTe00,atl,Q,,,,,,,,,,,,,,,,,,,
Sean Weatherspoon,WeatSe99,atl,,,,,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Paul Worrilow,WorrPa00,atl,,,O,O,O,,,,,,,Q,,,,,,,,
Sam Acho,AchoSa00,chi,,,,,,Q,Q,,,,,,,,,,,,,
Mike Adams,AdamMi02,chi,,,,,,,,,,,,,IR,IR,IR,IR,,,,
Adrian Amos,AmosAd00,chi,,,Q,,,,,,,,,Q,,,,,,,,
Jonathan Anderson,AndeJo01,chi,,,,,,,,,,,,,Q,,,,,,,
Johnthan Banks,BankJo00,chi,,,,,,,,,,,,,Q,,,,,,,
Lamin Barrow,BarrLa00,chi,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Nick Becton,BectNi00,chi,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Josh Bellamy,BellJo02,chi,Q,,,,,,,,,,,,Q,,,,,,,
Brandon Boykin,BoykBr00,chi,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jonathan Bullard,BullJo00,chi,,,,Q,Q,,,,,,,,,,,,,,,
Deon Bush,BushDe00,chi,Q,,,,,,,,,,,,,,,Q,,,,
Bryce Callahan,CallBr00,chi,Q,,Q,,,Q,Q,,,Q,,,,,Q,Q,Q,,,
